OBJECTID,Addr_Comm,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
168,XÃ GIAO XUÂN,8,2,4,1,4,3,3,6,3,2
169,XÃ GIAO THỊNH,4,5,5,4,8,4,10,4,3,3
170,XÃ GIAO HẢI,7,4,5,2,5,3,5,3,3,2
171,XÃ BẠCH LONG,1,3,4,6,5,4,2,4,5,3
172,XÃ GIAO LONG,3,5,3,3,3,4,2,1,2,2
173,XÃ GIAO PHONG,2,2,5,7,13,3,9,7,2,5
174,THỊ TRẤN YÊN ĐỊNH,7,5,6,4,12,3,5,5,6,2
175,THỊ TRẤN CỒN,6,7,5,10,11,8,10,0,1,4
176,THỊ TRẤN THỊNH LONG,9,6,10,11,13,9,8,7,6,4
177,XÃ HẢI NAM,7,4,9,10,13,11,12,10,4,6
178,XÃ HẢI TRUNG,7,11,8,8,12,7,17,15,5,8
179,XÃ HẢI VÂN,5,2,8,5,3,6,5,9,5,4
180,XÃ HẢI MINH,15,19,14,12,13,22,23,14,6,16
181,XÃ HẢI AN,20,21,16,20,14,12,10,5,8,10
182,XÃ HẢI ANH,12,10,8,9,12,9,9,16,7,5
183,XÃ HẢI HƯNG,8,5,10,9,11,7,12,8,5,5
184,XÃ HẢI BẮC,17,9,7,9,3,4,2,8,6,4
185,XÃ HẢI PHÚC,10,10,7,6,4,10,2,3,5,4
186,XÃ HẢI THANH,3,2,3,5,5,4,10,7,7,9
187,XÃ HẢI HÀ,13,9,4,11,5,12,9,4,7,4
188,XÃ HẢI LONG,6,2,6,4,9,8,12,10,3,5
189,XÃ HẢI PHƯƠNG,17,13,13,6,8,14,12,6,6,7
190,XÃ HẢI ĐƯỜNG,3,8,3,6,11,17,14,7,12,11
191,XÃ HẢI LỘC,6,4,5,8,3,9,2,6,3,1
192,XÃ HẢI QUANG,2,3,4,8,8,4,4,8,3,6
193,XÃ HẢI ĐÔNG,2,6,6,14,10,6,7,7,5,4
194,XÃ HẢI SƠN,4,2,5,2,4,7,8,3,4,5
195,XÃ HẢI TÂN,9,2,5,5,9,4,5,8,5,2
196,XÃ HẢI TÂY,8,6,8,2,6,7,2,5,1,2
198,XÃ HẢI PHONG,6,5,5,1,2,8,9,4,3,2
199,XÃ HẢI LÝ,7,6,6,8,7,12,5,7,3,4
200,XÃ HẢI PHÚ,0,0,0,0,15,9,12,7,5,4
201,XÃ GIAO YẾN,7,4,3,15,6,6,4,7,4,3
202,XÃ HẢI GIANG,6,5,4,5,2,5,4,2,4,0
203,XÃ HẢI CƯỜNG,5,7,9,6,8,6,3,11,3,7
204,XÃ HẢI NINH,11,4,3,3,5,5,5,3,1,3
205,XÃ HẢI CHÍNH,3,4,5,1,7,6,6,3,6,5
206,XÃ HẢI XUÂN,9,4,3,3,7,8,2,5,2,2
207,XÃ HẢI CHÂU,3,4,4,6,3,2,10,1,5,1
208,XÃ HẢI TRIỀU,0,4,2,2,2,3,2,2,2,3
209,XÃ HẢI HÒA,2,4,2,4,9,8,3,7,3,6
211,XÃ GIAO THIỆN,2,3,4,1,6,4,6,4,3,3
212,XÃ GIAO THANH,3,3,6,7,7,3,2,10,7,6
213,XÃ GIAO HƯƠNG,6,4,5,4,2,0,4,6,1,3
214,XÃ GIAO AN,2,1,7,6,6,4,7,5,2,6
219,PHƯỜNG HẠ LONG,7,11,11,7,18,13,14,14,5,12
220,PHƯỜNG TRẦN TẾ XƯƠNG,8,15,7,6,13,18,8,15,5,19
221,PHƯỜNG VỊ HOÀNG,5,5,8,4,9,9,11,5,7,6
222,PHƯỜNG VỊ XUYÊN,4,3,5,4,10,7,5,3,2,11
223,PHƯỜNG QUANG TRUNG,19,11,6,7,12,8,12,5,5,2
224,PHƯỜNG CỬA BẮC,9,12,11,13,10,11,8,7,15,9
225,PHƯỜNG NGUYỄN DU,2,4,6,3,4,1,8,4,6,7
226,PHƯỜNG BÀ TRIỆU,4,3,4,3,9,5,4,3,5,8
227,PHƯỜNG TRƯỜNG THI,3,8,15,9,13,9,15,12,9,11
228,PHƯỜNG PHAN ĐÌNH PHÙNG,7,3,5,10,10,12,4,10,6,7
229,PHƯỜNG NGÔ QUYỀN,5,9,7,4,9,3,11,6,5,6
230,PHƯỜNG TRẦN HƯNG ĐẠO,11,9,7,8,7,11,10,5,2,4
231,PHƯỜNG TRẦN ĐĂNG NINH,6,6,7,9,11,7,9,6,5,10
232,PHƯỜNG NĂNG TĨNH,14,8,8,3,9,9,9,14,4,9
233,PHƯỜNG VĂN MIẾU,6,8,7,9,6,7,13,4,10,10
234,PHƯỜNG TRẦN QUANG KHẢI,8,5,7,3,8,20,9,15,11,10
235,PHƯỜNG THỐNG NHẤT,7,5,3,6,7,7,8,7,4,3
236,PHƯỜNG LỘC HẠ,4,7,8,7,13,9,16,11,10,13
237,PHƯỜNG LỘC VƯỢNG,6,15,15,9,19,14,6,7,14,9
238,PHƯỜNG CỬA NAM,5,3,9,6,6,12,8,7,8,11
239,PHƯỜNG LỘC HÒA,2,4,10,6,8,6,17,6,4,9
240,XÃ NAM PHONG,3,6,3,5,9,6,3,4,7,2
241,PHƯỜNG MỸ XÁ,7,9,10,8,9,15,9,16,7,9
242,XÃ LỘC AN,6,2,10,5,13,3,7,3,5,4
245,XÃ MỸ THẮNG,5,4,3,7,3,3,5,8,4,4
246,XÃ MỸ TRUNG,6,5,1,8,7,3,6,1,6,7
254,XÃ TÂN THÀNH,3,3,1,4,3,2,3,5,2,2
256,XÃ NAM MỸ,1,4,3,3,10,4,3,4,5,5
257,XÃ ĐIỀN XÁ,7,11,5,5,7,10,10,3,7,9
260,XÃ NAM TOÀN,1,4,2,1,4,5,1,3,4,2
